date_time,site_name,posa_continent,user_location_country,user_location_region,user_location_city,orig_destination_distance,user_id,is_mobile,is_package,channel,srch_ci,srch_co,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_id,srch_destination_type_id,is_booking,cnt,hotel_continent,hotel_country,hotel_market,hotel_cluster
2014-08-11 074659,2,3,66,348,48862,2234.2641,12,0,1,9,2014-08-27,2014-08-31,2,0,1,8250,1,0,3,2,50,628,1
2014-08-11 082212,2,3,66,348,48862,2234.2641,12,0,1,9,2014-08-29,2014-09-02,2,0,1,8250,1,1,1,2,50,628,1
2014-08-11 082433,2,3,66,348,48862,2234.2641,12,0,0,9,2014-08-29,2014-09-02,2,0,1,8250,1,0,1,2,50,628,1
2014-08-09 180516,2,3,66,442,35390,913.1932,93,0,0,3,2014-11-23,2014-11-28,2,0,1,14984,1,0,1,2,50,1457,80
2014-08-09 180818,2,3,66,442,35390,913.6259,93,0,0,3,2014-11-23,2014-11-28,2,0,1,14984,1,0,1,2,50,1457,21
2014-08-09 181312,2,3,66,442,35390,911.5142,93,0,0,3,2014-11-23,2014-11-28,2,0,1,14984,1,0,1,2,50,1457,92
2014-07-16 094223,2,3,66,189,10067,,501,0,0,2,2014-08-01,2014-08-02,2,0,1,8267,1,0,2,2,50,675,41
2014-07-16 094548,2,3,66,189,10067,,501,0,1,2,2014-08-01,2014-08-02,2,0,1,8267,1,0,1,2,50,675,41
2014-07-16 095211,2,3,66,189,10067,,501,0,0,2,2014-08-01,2014-08-02,2,0,1,8267,1,0,1,2,50,675,69
2014-07-16 095524,2,3,66,189,10067,,501,0,0,2,2014-08-01,2014-08-02,2,0,1,8267,1,0,1,2,50,675,70
2014-07-16 100006,2,3,66,189,10067,,501,0,0,2,2014-08-01,2014-08-02,2,0,1,8267,1,0,1,2,50,675,98
2014-07-16 100258,2,3,66,189,10067,,501,0,0,2,2014-08-01,2014-08-02,2,0,1,8267,1,0,1,2,50,675,10
2014-01-17 062456,2,3,66,318,22418,420.6642,756,0,1,9,2014-04-17,2014-04-20,2,0,1,8291,1,0,5,2,50,191,18
2014-01-18 143331,2,3,66,318,52078,,756,0,1,9,2014-04-16,2014-04-19,2,0,1,8291,1,0,1,2,50,191,28
2014-01-21 063908,2,3,66,318,22418,421.8551,756,0,1,2,2014-04-17,2014-04-20,2,0,1,8291,1,0,1,2,50,191,25
2014-01-21 064018,2,3,66,318,22418,421.8551,756,0,1,2,2014-04-18,2014-04-20,2,0,1,8291,1,0,1,2,50,191,25
2014-01-22 061002,2,3,66,318,22418,421.8551,756,0,1,2,2014-04-18,2014-04-20,2,0,1,8291,1,0,1,2,50,191,25
2014-01-24 115204,2,3,66,318,22418,421.8551,756,0,1,9,2014-04-17,2014-04-19,2,0,1,8291,1,0,1,2,50,191,25
2014-01-24 172624,2,3,66,318,52078,,756,0,1,9,2014-04-17,2014-04-19,2,0,1,8291,1,0,1,2,50,191,25
2014-02-27 174423,2,3,66,318,52078,,756,0,1,4,2014-04-17,2014-04-19,2,0,1,8291,1,0,1,2,50,191,2
2014-02-27 180132,2,3,66,318,52078,,756,0,1,4,2014-04-18,2014-04-20,2,0,1,8291,1,1,1,2,50,191,2
2014-12-30 095051,2,3,66,318,21655,,756,0,1,2,2015-02-06,2015-02-08,1,0,1,12193,6,0,2,2,50,406,16
2014-12-30 095543,2,3,66,318,21655,,756,0,1,2,2015-02-06,2015-02-08,1,0,1,12193,6,0,2,2,50,406,16
2014-12-30 095626,2,3,66,318,21655,,756,0,1,2,2015-02-06,2015-02-08,1,0,1,12193,6,0,1,2,50,406,94
2014-10-22 122056,2,3,66,318,52997,47.7027,776,0,0,9,2014-10-25,2014-10-26,2,0,1,27082,6,0,2,2,50,641,77
2014-11-10 123802,2,3,66,318,48382,1753.2617,776,0,1,9,2015-01-22,2015-01-24,1,0,1,8250,1,0,1,2,50,628,24
2013-06-15 151049,30,4,195,548,56440,,1048,0,1,9,2013-09-07,2013-09-15,2,0,1,1385,1,0,1,0,185,185,58
2013-06-15 153805,30,4,195,548,56440,,1048,0,1,9,2013-09-06,2013-09-14,2,0,1,1385,1,1,1,0,185,185,58
2014-11-22 143246,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,36
2014-11-22 143705,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,82
2014-11-22 165521,30,4,195,991,47725,,1048,0,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,46
2014-11-22 165909,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,2,3,151,69,30
2014-11-22 170239,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,36
2014-11-22 170434,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,29
2014-11-22 170534,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,57
2014-11-22 170720,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,29
2014-11-22 195654,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,46
2014-11-22 203849,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,30
2014-11-22 204322,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,85
2014-11-22 204505,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,46
2014-11-22 204719,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,36
2014-11-22 205034,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,36
2014-11-22 205327,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,1236,82
2014-11-22 205538,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,1197,5
2014-11-22 210006,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,1197,29
2014-11-22 210138,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,59
2014-11-22 211053,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,29
2014-11-22 211222,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,2,3,151,69,62
2014-11-22 211506,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,81
2014-11-22 215537,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,2,3,151,69,46
2014-11-22 220024,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,59
2014-11-22 220627,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,29
2014-11-22 220920,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,2,3,151,1197,29
2014-11-22 222013,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,2,3,151,69,36
2014-11-22 222739,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,1,3,151,69,81
2014-11-22 222915,30,4,195,991,47725,,1048,1,0,9,2015-06-26,2015-06-28,2,0,1,8803,1,0,2,3,151,69,29
